user_id,city,distance_to_origin_km,distance_to_edge_km,edge_node_location,total_network_time,total_load_delay,average_request_time,successful_requests,failed_requests,cache_hits,cache_hit_ratio
1,Chicago Downtown,874,0,"Chicago, IL",0.054,0,1.8,30,0,20,0.667
7,Manhattan,322,0,"New York, NY",0.025,0,1.2,20,0,9,0.45
11,Houston Downtown,1.97e+03,0,"Houston, TX",0.084,0,4.2,20,0,12,0.6
9,LA Downtown,3.64e+03,0,"Los Angeles, CA",0.226,0,11.3,20,0,8,0.4
5,Chicago East,874,1.8,"Chicago, IL",0.076,0,2.5,30,0,15,0.5
8,Newark,309,14.3,"New York, NY",0.026,0,1.3,20,0,9,0.45
4,Chicago South,873,16.8,"Chicago, IL",0.047,0,1.6,30,0,22,0.733
2,Chicago North,883,19.2,"Chicago, IL",0.061,0,2,30,0,19,0.633
6,Chicago Suburb,890,21.4,"Chicago, IL",0.052,0,1.7,30,0,21,0.7
10,Santa Monica,3.67e+03,23.1,"Los Angeles, CA",0.154,0,7.7,20,0,12,0.6
3,Chicago West,897,23.2,"Chicago, IL",0.057,0,1.9,30,0,20,0.667
12,The Woodlands,1.94e+03,45.8,"Houston, TX",0.099,0,4.9,20,0,11,0.55
